Title;Artist;;;;;;;;;
Suparichie;Richie;;;;;;;;;
Ein Schwein namens Männer ;Die Ärzte;;;;;;;;;
Pushed Again;Die Toten Hosen;;;;;;;;;
Der Steuersong (Las Kanzlern);Die Gerd Show;;;;;;;;;
MFG (Mit Freundlichen Grüßen);Die Fantastischen Vier;;;;;;;;;
The Rigga Ding Dong Song;Passion Fruit;;;;;;;;;
Wie Es Geht;Die Ärzte;;;;;;;;;
Lady Marmalade;Christina Aguilera, Lil' Kim, Mya & P!nk;;;;;;;;;
Nein Mann - Original Mix ; Laserkraft 3D;;;;;;;;;
Engel ; Rammstein;;;;;;;;;
Men in Black ; Will Smith;;;;;;;;;
Samba De Janeiro - Radio Edit ; Bellini;;;;;;;;;
Warum? ; Tic Tac Toe;;;;;;;;;
Barbie Girl ; Aqua;;;;;;;;;
Mr. Wichtig ; Tic Tac Toe;;;;;;;;;
Fire ; Scooter;;;;;;;;;
Meine kleine Schwester - Radio Edit ; Spektacoolär;;;;;;;;;
Just A Girl ; No Doubt;;;;;;;;;
My Heart Will Go On - Love Theme from Titanic ; Céline Dion;;;;;;;;;
Out of the Dark ; Falco;;;;;;;;;
Bailando ; Loona;;;;;;;;;
I Don't Want to Miss a Thing ; Aerosmith;;;;;;;;;
The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98] - English [Crowd noise] ; Ricky Martin;;;;;;;;;
Open Your Eyes ; Guano Apes;;;;;;;;;
Frozen ; Madonna;;;;;;;;;
Save Tonight ; Eagle-Eye Cherry;;;;;;;;;
How Much Is The Fish? ; Scooter;;;;;;;;;
Flugzeuge im Bauch - Radio Mix ; Oli. P;;;;;;;;;
Egoist ; Falco;;;;;;;;;
Angels ; Robbie Williams;;;;;;;;;
Guildo Hat Euch Lieb! - Grand Prix Version ; Guildo Horn & Die Orthopädischen Strümpfe;;;;;;;;;
Lords of the Boards ; Guano Apes, Ronald Prent at Wisselord Studios, Hilversum, Netherland;;;;;;;;;
Believe ; Cher;;;;;;;;;
Mambo No. 5 (A Little Bit of...) ; Lou Bega;;;;;;;;;
Blue (Da Ba Dee) - DJ Ponte Radio Edit ; Eiffel 65;;;;;;;;;
...Baby One More Time ; Britney Spears;;;;;;;;;
Pretty Fly (For A White Guy) ; The Offspring;;;;;;;;;
Along Comes Mary ; Bloodhound Gang;;;;;;;;;
Livin' la Vida Loca ; Ricky Martin;;;;;;;;;
I Will Survive ; Hermes House Band;;;;;;;;;
The Bad Touch ; Bloodhound Gang;;;;;;;;;
I Want It That Way ; Backstreet Boys;;;;;;;;;
Flat Beat ; Mr. Oizo;;;;;;;;;
Fly Away ; Lenny Kravitz;;;;;;;;;
Wild Wild West (In the Style of Will Smith Feat. Dru Hill and Kool Moe Dee) [Karaoke Version] ; Ameritz - Karaoke;;;;;;;;;
Strong Enough ; Cher;;;;;;;;;
Ö La Palöma (Radio Edit) ; Ö La Palöma Boys;;;;;;;;;
Whiskey In The Jar ; Metallica;;;;;;;;;
Mamboleo ; Loona;;;;;;;;;
Miami ; Will Smith;;;;;;;;;
Hijo De La Luna - Radio Version ; Loona;;;;;;;;;
Anton aus Tirol ; Anton feat. DJ Ötzi;;;;;;;;;
Supergirl ; Reamonn;;;;;;;;;
Freestyler - Alternative Radio Edit ; Bomfunk MC's;;;;;;;;;
Around the World (La La La La La) - Radio Version ; A Touch Of Class;;;;;;;;;
Oops!...I Did It Again ; Britney Spears;;;;;;;;;
My Heart Goes Boom - Radio Version ; French Affair;;;;;;;;;
Nothing Else Matters ; Metallica;;;;;;;;;
The Real Slim Shady ; Eminem;;;;;;;;;
Take A Look Around ; Limp Bizkit;;;;;;;;;
I Will Love Again ; Lara Fabian;;;;;;;;;
American Pie ; Madonna;;;;;;;;;
Ich vermiss' Dich... (wie die Hölle) - Radio Mix ; Zlatko;;;;;;;;;
Let's Get Loud ; Jennifer Lopez;;;;;;;;;
Bongo Bong ; Manu Chao;;;;;;;;;
Last Resort ; Papa Roach;;;;;;;;;
All The Small Things ; blink-182;;;;;;;;;
Bon Voyage - feat. Nina ; Deichkind;;;;;;;;;
Super Trouper - Radio Version ; A*Teens;;;;;;;;;
Junimond ; Echt;;;;;;;;;
Rock DJ ; Robbie Williams;;;;;;;;;
Liebesbrief ; Thomas D;;;;;;;;;
I Disappear ; Metallica;;;;;;;;;
Weinst Du ; Echt;;;;;;;;;
Played-A-Live (The Bongo Song) - Radio Cut ; Safri Duo;;;;;;;;;
Country Roads (Radio Version) ; Hermes House Band;;;;;;;;;
Whole Again ; Atomic Kitten;;;;;;;;;
Teenage Dirtbag ; Wheatus;;;;;;;;;
One More Time ; Daft Punk;;;;;;;;;
You're My Mate ; Right Said Fred;;;;;;;;;
Butterfly ; Crazy Town;;;;;;;;;
Clint Eastwood ; Gorillaz;;;;;;;;;
Crying at the Discoteque - Radio Edit ; Alcazar;;;;;;;;;
Fallin' ; Alicia Keys;;;;;;;;;
Crawling ; Linkin Park;;;;;;;;;
It's Raining Men ; Geri Halliwell;;;;;;;;;
Deutschland - Radio Mix ; Die Prinzen;;;;;;;;;
Smooth Criminal ; Alien Ant Farm;;;;;;;;;
Can't Get You Out Of My Head ; Kylie Minogue;;;;;;;;;
Uptown Girl - Radio Edit ; Westlife;;;;;;;;;
Come Along ; Titiyo;;;;;;;;;
Schwule Mädchen ; Fettes Brot;;;;;;;;;
Overload ; Sugababes;;;;;;;;;
Rollin' (Air Raid Vehicle) ; Limp Bizkit;;;;;;;;;
Sonne ; Rammstein;;;;;;;;;
Who Let The Dogs Out ; Baha Men;;;;;;;;;
Dickes B [feat. Black Kappa] - Single-Version ; Seeed, Black Kappa;;;;;;;;;
L'amour Toujours - Radio Version ; Gigi D'Agostino;;;;;;;;;
Bad Boy For Life ; Diddy, Black Rob, Mark Curry;;;;;;;;;
In The End ; Linkin Park;;;;;;;;;
Don't Stop Movin' ; S Club 7;;;;;;;;;
Because I Got High ; Afroman;;;;;;;;;
Without Me ; Eminem;;;;;;;;;
Whenever, Wherever ; Shakira;;;;;;;;;
How You Remind Me ; Nickelback;;;;;;;;;
The Ketchup Song (Aserejé) - Spanglish Version ; Las Ketchup;;;;;;;;;
Moonlight Shadow ; Groove Coverage;;;;;;;;;
Get The Party Started ; P!nk;;;;;;;;;
Cruisen ; Massive Töne;;;;;;;;;
Hot In Herre ; Nelly;;;;;;;;;
Like a Prayer - Radio Edit ; Mad'house;;;;;;;;;
Tainted Love ; Marilyn Manson;;;;;;;;;
Complicated ; Avril Lavigne;;;;;;;;;
Everytime - Original ; The Flames;;;;;;;;;
Don't Let Me Get Me - LP Version/Radio Edit ; P!nk;;;;;;;;;
Indigo Girl ; Watershed;;;;;;;;;
By The Way ; Red Hot Chili Peppers;;;;;;;;;
She Hates Me ; Puddle Of Mudd;;;;;;;;;
Wir Kiffen! ; Stefan Raab;;;;;;;;;
Warriors Of The World United ; Manowar;;;;;;;;;
Tu Es Foutu ; In-Grid;;;;;;;;;
All The Things She Said ; t.A.T.u.;;;;;;;;;
Lose Yourself ; Eminem;;;;;;;;;
In The Shadows ; The Rasmus;;;;;;;;;
Where Is The Love? ; The Black Eyed Peas;;;;;;;;;
Hip Teens Don't Wear Blue Jeans - Original Version ; Frank Popp Ensemble;;;;;;;;;
Ice Queen - Radio Edit ; Within Temptation;;;;;;;;;
Numb ; Linkin Park;;;;;;;;;
P.I.M.P. ; 50 Cent;;;;;;;;;
Zur Erinnerung ; Ferris Mc;;;;;;;;;
Rhythm Is A Dancer - vs. CJ Stone ; SNAP!;;;;;;;;;
Beautiful ; Christina Aguilera;;;;;;;;;
Lifestyles of the Rich & Famous ; Good Charlotte;;;;;;;;;
I'm with You ; Avril Lavigne;;;;;;;;;
Perfekte Welle ; Juli;;;;;;;;;
Yeah! ; Usher, Lil Jon, Ludacris;;;;;;;;;
Behind Blue Eyes ; Limp Bizkit;;;;;;;;;
Troy ; Die Fantastischen Vier;;;;;;;;;
This Love ; Maroon 5;;;;;;;;;
Hey Ya! - Radio Mix / Club Mix ; OutKast;;;;;;;;;
Space-Taxi (Radio Version) ; Stefan Raab feat. Spucky, Kork & Schrotty;;;;;;;;;
Nemo ; Nightwish;;;;;;;;;
Denkmal ; Wir Sind Helden;;;;;;;;;
AMERIKA ; Rammstein;;;;;;;;;
Here Without You ; 3 Doors Down;;;;;;;;;
It's My Life ; No Doubt;;;;;;;;;
MEIN TEIL ; Rammstein;;;;;;;;;
Enjoy The Silence 2004 ; Depeche Mode;;;;;;;;;
Schnappi, das kleine Krokodil - Party-Mix ; Das singende Krokodil vom Nil;;;;;;;;;
Numb/Encore ; JAY Z, Linkin Park;;;;;;;;;
